crop,soil_type,region,season,rainfall,temperature,humidity,yield
wheat,loamy,north-india,rabi,120,22,55,4800
wheat,clay,north-india,rabi,150,24,60,5200
wheat,sandy,west-india,rabi,100,26,50,4200
wheat,loamy,central-india,rabi,140,25,58,5100
rice,clay,south-india,kharif,220,30,75,5500
rice,loamy,east-india,kharif,250,32,80,5800
rice,silt,south-india,kharif,200,28,70,5200
rice,clay,west-india,kharif,180,29,72,4900
corn,loamy,north-india,kharif,160,28,65,4600
corn,sandy,west-india,zaid,140,32,55,4200
corn,clay,central-india,kharif,170,30,68,4800
corn,loamy,east-india,kharif,180,29,70,5000
soybean,loamy,central-india,kharif,150,28,60,3200
soybean,clay,west-india,kharif,160,30,65,3400
soybean,sandy,north-india,kharif,130,27,55,2900
soybean,silt,east-india,kharif,170,29,68,3300
potato,loamy,north-india,rabi,100,18,50,6200
potato,sandy,west-india,rabi,90,20,45,5800
potato,loamy,central-india,rabi,110,19,52,6400
potato,clay,east-india,rabi,120,21,55,5600
cotton,sandy,west-india,kharif,80,32,40,2400
cotton,loamy,central-india,kharif,100,30,45,2700
cotton,clay,south-india,kharif,90,31,42,2500
cotton,sandy,north-india,kharif,70,33,38,2200
sugarcane,clay,south-india,zaid,200,32,70,7500
sugarcane,loamy,west-india,zaid,180,30,65,7200
sugarcane,silt,east-india,zaid,220,31,72,7800
sugarcane,clay,central-india,zaid,190,29,68,7000
barley,loamy,north-india,rabi,80,20,50,3800
barley,sandy,west-india,rabi,70,22,45,3500
barley,clay,central-india,rabi,90,21,52,4000
barley,loamy,east-india,rabi,100,19,55,4200
wheat,silt,east-india,rabi,130,23,57,4900
wheat,loamy,south-india,rabi,110,27,62,4500
rice,loamy,north-india,kharif,240,31,78,5600
rice,sandy,west-india,kharif,160,27,65,4600
corn,silt,south-india,kharif,175,31,72,4700
corn,clay,north-india,zaid,150,33,60,4400
soybean,loamy,south-india,kharif,165,31,70,3100
soybean,clay,central-india,kharif,155,29,63,3350
potato,silt,south-india,rabi,115,22,54,5900
potato,clay,west-india,rabi,95,23,48,5500
cotton,loamy,south-india,kharif,95,29,43,2600
cotton,silt,east-india,kharif,85,30,41,2450
sugarcane,loamy,north-india,zaid,210,28,67,7100
sugarcane,sandy,south-india,zaid,170,33,60,6800
barley,silt,south-india,rabi,85,23,48,3700
barley,clay,west-india,rabi,75,24,43,3600
wheat,clay,east-india,rabi,145,21,59,5050
rice,silt,north-india,kharif,230,29,76,5450
